Id,Date,TotalSleepRecords,MinutesAsleep,TimeInBed,SleepEfficiency,HoursAsleep,ProductivityScore,SleepBin,DayOfWeek,DayType,Lagged_HoursAsleep,Lagged_SleepEfficiency,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
4020332650,2016-04-12,1,501,541,0.9260628465804066,8.35,8,8+,Tuesday,Weekday,5.45,0.9450867052023122,2016-04-12,8539,6.11999988555908,6.11999988555908,0.0,0.150000005960464,0.239999994635582,5.67999982833862,0.0,4,15,331,712,3654
4445114986,2016-04-12,2,429,457,0.9387308533916849,7.15,4,7-8,Tuesday,Weekday,8.35,0.9260628465804066,2016-04-12,3276,2.20000004768372,2.20000004768372,0.0,0.0,0.0,2.20000004768372,0.0,0,0,196,787,2113
4702921684,2016-04-12,1,425,439,0.9681093394077449,7.083333333333333,7,7-8,Tuesday,Weekday,7.15,0.9387308533916849,2016-04-12,7213,5.88000011444092,5.88000011444092,0.0,0.0,0.0,5.84999990463257,0.0,0,0,263,718,2947
5553957443,2016-04-12,1,441,464,0.9504310344827587,7.35,5,7-8,Tuesday,Weekday,7.083333333333333,0.9681093394077449,2016-04-12,11596,7.57000017166138,7.57000017166138,0.0,1.37000000476837,0.790000021457672,5.40999984741211,0.0,19,13,277,767,2026
5577150313,2016-04-12,1,419,438,0.95662100456621,6.983333333333333,5,6-7,Tuesday,Weekday,7.35,0.9504310344827587,2016-04-12,8135,6.07999992370605,6.07999992370605,0.0,3.59999990463257,0.379999995231628,2.09999990463257,0.0,86,16,140,728,3405
2026352035,2016-04-12,1,503,546,0.9212454212454212,8.383333333333333,10,8+,Tuesday,Weekday,6.983333333333333,0.95662100456621,2016-04-12,4414,2.74000000953674,2.74000000953674,0.0,0.189999997615814,0.349999994039536,2.20000004768372,0.0,3,8,181,706,1459
1927972279,2016-04-12,3,750,775,0.967741935483871,12.5,8,nan,Tuesday,Weekday,8.383333333333333,0.9212454212454212,2016-04-12,678,0.469999998807907,0.469999998807907,0.0,0.0,0.0,0.469999998807907,0.0,0,0,55,734,2220
6962181067,2016-04-12,1,366,387,0.9457364341085271,6.1,4,6-7,Tuesday,Weekday,12.5,0.967741935483871,2016-04-12,10199,6.73999977111816,6.73999977111816,0.0,3.40000009536743,0.829999983310699,2.50999999046326,0.0,50,14,189,796,1994
7086361926,2016-04-12,1,514,525,0.979047619047619,8.566666666666666,10,8+,Tuesday,Weekday,6.1,0.9457364341085271,2016-04-12,11317,8.40999984741211,8.40999984741211,0.0,5.26999998092651,0.150000005960464,2.97000002861023,0.0,59,6,153,745,2772
8378563200,2016-04-12,1,338,356,0.949438202247191,5.633333333333334,6,5-6,Tuesday,Weekday,8.566666666666666,0.979047619047619,2016-04-12,7626,6.05000019073486,6.05000019073486,2.25308108329773,0.829999983310699,0.709999978542328,4.5,0.0,65,15,156,723,3635
3977333714,2016-04-12,1,274,469,0.5842217484008528,4.566666666666666,1,<5,Tuesday,Weekday,5.633333333333334,0.949438202247191,2016-04-12,8856,5.98000001907349,5.98000001907349,0.0,3.05999994277954,0.910000026226044,2.00999999046326,0.0,44,19,131,777,1450
8792009665,2016-04-12,1,458,493,0.9290060851926978,7.633333333333334,8,7-8,Tuesday,Weekday,4.566666666666666,0.5842217484008528,2016-04-12,2564,1.63999998569489,1.63999998569489,0.0,0.0,0.0,1.63999998569489,0.0,0,0,116,831,2044
8378563200,2016-04-13,2,447,487,0.917864476386037,7.45,7,7-8,Wednesday,Weekday,7.633333333333334,0.9290060851926978,2016-04-13,12386,9.81999969482422,9.81999969482422,2.0921471118927,4.96000003814697,0.649999976158142,4.21000003814697,0.0,116,14,169,680,4079
1927972279,2016-04-13,1,398,422,0.943127962085308,6.633333333333334,4,6-7,Wednesday,Weekday,7.45,0.917864476386037,2016-04-13,356,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0,0,32,986,2151
3977333714,2016-04-13,2,295,456,0.6469298245614035,4.916666666666667,2,<5,Wednesday,Weekday,6.633333333333334,0.943127962085308,2016-04-13,10035,6.71000003814697,6.71000003814697,0.0,2.02999997138977,2.13000011444092,2.54999995231628,0.0,31,46,153,754,1495
5577150313,2016-04-13,1,432,458,0.9432314410480349,7.2,4,7-8,Wednesday,Weekday,4.916666666666667,0.6469298245614035,2016-04-13,5077,3.78999996185303,3.78999996185303,0.0,0.319999992847443,0.219999998807907,3.25,0.0,15,11,144,776,2551
6775888955,2016-04-13,1,235,260,0.9038461538461539,3.9166666666666665,3,<5,Wednesday,Weekday,7.2,0.9432314410480349,2016-04-13,4053,2.91000008583069,2.91000008583069,0.0,1.11000001430511,0.579999983310699,1.22000002861023,0.0,17,18,85,1053,2400
5553957443,2016-04-13,2,455,488,0.9323770491803278,7.583333333333333,9,7-8,Wednesday,Weekday,3.9166666666666665,0.9038461538461539,2016-04-13,4832,3.16000008583069,3.16000008583069,0.0,0.0,0.0,3.16000008583069,0.0,0,0,226,647,1718
2026352035,2016-04-13,1,531,565,0.9398230088495575,8.85,9,8+,Wednesday,Weekday,7.583333333333333,0.9323770491803278,2016-04-13,4993,3.09999990463257,3.09999990463257,0.0,0.0,0.0,3.09999990463257,0.0,0,0,238,663,1521
4702921684,2016-04-13,2,400,430,0.9302325581395349,6.666666666666667,4,6-7,Wednesday,Weekday,8.85,0.9398230088495575,2016-04-13,6877,5.57999992370605,5.57999992370605,0.0,0.0,0.0,5.57999992370605,0.0,0,0,258,777,2898
6962181067,2016-04-13,3,630,679,0.9278350515463918,10.5,10,8+,Wednesday,Weekday,6.666666666666667,0.9302325581395349,2016-04-13,5652,3.74000000953674,3.74000000953674,0.0,0.569999992847443,1.21000003814697,1.96000003814697,0.0,8,24,142,548,1718
4445114986,2016-04-13,2,370,406,0.9113300492610837,6.166666666666667,4,6-7,Wednesday,Weekday,10.5,0.9278350515463918,2016-04-13,2961,1.99000000953674,1.99000000953674,0.0,0.0,0.0,1.99000000953674,0.0,0,0,194,840,2095
2347167796,2016-04-13,1,467,531,0.879472693032015,7.783333333333333,10,7-8,Wednesday,Weekday,6.166666666666667,0.9113300492610837,2016-04-13,10352,7.01000022888184,7.01000022888184,0.0,1.6599999666214,1.94000005722046,3.41000008583069,0.0,19,32,195,676,2038
7086361926,2016-04-13,1,451,465,0.9698924731182795,7.516666666666667,10,7-8,Wednesday,Weekday,7.783333333333333,0.879472693032015,2016-04-13,5813,3.61999988555908,3.61999988555908,0.0,0.560000002384186,0.209999993443489,2.83999991416931,0.0,31,26,155,744,2516
1503960366,2016-04-13,2,384,407,0.9434889434889435,6.4,5,6-7,Wednesday,Weekday,7.516666666666667,0.9698924731182795,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797
8792009665,2016-04-13,1,531,552,0.9619565217391305,8.85,9,8+,Wednesday,Weekday,6.4,0.9434889434889435,2016-04-13,1320,0.839999973773956,0.839999973773956,0.0,0.0,0.0,0.839999973773956,0.0,0,0,82,806,1934
4702921684,2016-04-14,1,384,415,0.9253012048192771,6.4,7,6-7,Thursday,Weekday,8.85,0.9619565217391305,2016-04-14,7860,6.36999988555908,6.36999988555908,0.0,0.0,0.0,6.36999988555908,0.0,0,0,271,772,2984
5553957443,2016-04-14,1,357,418,0.854066985645933,5.95,5,5-6,Thursday,Weekday,6.4,0.9253012048192771,2016-04-14,17022,11.1199998855591,11.1199998855591,0.0,4.0,2.45000004768372,4.67000007629395,0.0,61,41,256,693,2324
8378563200,2016-04-14,1,424,455,0.9318681318681319,7.066666666666666,5,7-8,Thursday,Weekday,5.95,0.854066985645933,2016-04-14,13318,10.5600004196167,10.5600004196167,2.25308108329773,5.61999988555908,1.02999997138977,3.91000008583069,0.0,123,21,174,699,4163
2347167796,2016-04-14,1,445,489,0.9100204498977505,7.416666666666667,5,7-8,Thursday,Weekday,7.066666666666666,0.9318681318681319,2016-04-14,10129,6.69999980926514,6.69999980926514,0.0,0.0199999995529652,2.74000000953674,3.94000005722046,0.0,1,48,206,705,2010
8792009665,2016-04-14,1,486,503,0.9662027833001988,8.1,8,8+,Thursday,Weekday,7.416666666666667,0.9100204498977505,2016-04-14,1219,0.779999971389771,0.779999971389771,0.0,0.0,0.0,0.779999971389771,0.0,0,0,84,853,1963
5577150313,2016-04-14,1,477,497,0.959758551307847,7.95,8,7-8,Thursday,Weekday,8.1,0.9662027833001988,2016-04-14,8596,6.42000007629395,6.42000007629395,0.0,3.32999992370605,0.310000002384186,2.77999997138977,0.0,118,30,176,662,4022
4319703577,2016-04-14,1,535,557,0.9605026929982047,8.916666666666666,10,8+,Thursday,Weekday,7.95,0.959758551307847,2016-04-14,10210,6.88000011444092,6.88000011444092,0.0,0.109999999403954,0.330000013113022,6.44000005722046,0.0,1,9,339,589,2302
3977333714,2016-04-14,1,291,397,0.7329974811083123,4.85,2,<5,Thursday,Weekday,8.916666666666666,0.9605026929982047,2016-04-14,7641,5.1100001335144,5.1100001335144,0.0,0.319999992847443,0.970000028610229,3.8199999332428,0.0,5,23,214,801,1433
4445114986,2016-04-14,1,441,492,0.8963414634146342,7.35,7,7-8,Thursday,Weekday,4.85,0.7329974811083123,2016-04-14,3974,2.67000007629395,2.67000007629395,0.0,0.0,0.0,2.67000007629395,0.0,0,0,231,717,2194
2026352035,2016-04-14,1,545,568,0.9595070422535211,9.083333333333334,8,8+,Thursday,Weekday,7.35,0.8963414634146342,2016-04-14,3335,2.0699999332428,2.0699999332428,0.0,0.0,0.0,2.04999995231628,0.0,0,0,197,653,1431
7086361926,2016-04-14,1,472,476,0.9915966386554622,7.866666666666666,8,7-8,Thursday,Weekday,9.083333333333334,0.9595070422535211,2016-04-14,9123,6.11999988555908,6.11999988555908,0.0,2.02999997138977,0.330000013113022,3.66000008583069,0.0,35,32,189,787,2734
6962181067,2016-04-14,2,508,535,0.9495327102803738,8.466666666666667,8,8+,Thursday,Weekday,7.866666666666666,0.9915966386554622,2016-04-14,1551,1.02999997138977,1.02999997138977,0.0,0.0,0.0,1.02999997138977,0.0,0,0,86,862,1466
6775888955,2016-04-14,1,423,441,0.9591836734693877,7.05,4,7-8,Thursday,Weekday,8.466666666666667,0.9495327102803738,2016-04-14,5162,3.70000004768372,3.70000004768372,0.0,0.870000004768372,0.860000014305115,1.97000002861023,0.0,14,24,105,863,2507
4445114986,2016-04-15,2,337,379,0.8891820580474934,5.616666666666666,4,5-6,Friday,Weekday,7.05,0.9591836734693877,2016-04-15,7198,4.82999992370605,4.82999992370605,0.0,0.0,0.0,4.82999992370605,0.0,0,0,350,711,2496
5577150313,2016-04-15,1,392,413,0.9491525423728814,6.533333333333333,7,6-7,Friday,Weekday,5.616666666666666,0.8891820580474934,2016-04-15,12087,9.07999992370605,9.07999992370605,0.0,3.92000007629395,1.60000002384186,3.55999994277954,0.0,115,54,199,695,4005
2347167796,2016-04-15,1,452,504,0.8968253968253969,7.533333333333333,10,7-8,Friday,Weekday,6.533333333333333,0.9491525423728814,2016-04-15,10465,6.92000007629395,6.92000007629395,0.0,0.0700000002980232,1.41999995708466,5.42999982833862,0.0,1,24,284,720,2133
6962181067,2016-04-15,1,370,386,0.9585492227979274,6.166666666666667,7,6-7,Friday,Weekday,7.533333333333333,0.8968253968253969,2016-04-15,5563,3.6800000667572,3.6800000667572,0.0,0.0,0.0,3.6800000667572,0.0,0,0,217,837,1756
4702921684,2016-04-15,1,253,257,0.9844357976653697,4.216666666666667,2,<5,Friday,Weekday,6.166666666666667,0.9585492227979274,2016-04-15,6506,5.28000020980835,5.28000020980835,0.0,0.0700000002980232,0.419999986886978,4.78999996185303,0.0,1,8,256,944,2896
4319703577,2016-04-15,1,465,491,0.9470468431771895,7.75,10,7-8,Friday,Weekday,4.216666666666667,0.9844357976653697,2016-04-15,5664,3.79999995231628,3.79999995231628,0.0,0.0,0.0,3.79999995231628,0.0,0,0,228,752,1985
8792009665,2016-04-15,1,363,377,0.9628647214854111,6.05,7,6-7,Friday,Weekday,7.75,0.9470468431771895,2016-04-15,2483,1.5900000333786,1.5900000333786,0.0,0.0,0.0,1.5900000333786,0.0,0,0,126,937,2009
1503960366,2016-04-15,1,412,442,0.9321266968325792,6.866666666666666,5,6-7,Friday,Weekday,6.05,0.9628647214854111,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745
4388161847,2016-04-15,1,499,526,0.9486692015209125,8.316666666666666,9,8+,Friday,Weekday,6.866666666666666,0.9321266968325792,2016-04-15,8758,6.73000001907349,6.73000001907349,0.0,0.0,0.0,6.73000001907349,0.0,0,0,299,837,3066
5553957443,2016-04-15,1,377,409,0.921760391198044,6.283333333333333,4,6-7,Friday,Weekday,8.316666666666666,0.9486692015209125,2016-04-15,16556,10.8599996566772,10.8599996566772,0.0,4.15999984741211,1.98000001907349,4.71000003814697,0.0,58,38,239,689,2254
7086361926,2016-04-15,1,377,386,0.9766839378238342,6.283333333333333,4,6-7,Friday,Weekday,6.283333333333333,0.921760391198044,2016-04-15,8585,5.67000007629395,5.67000007629395,0.0,2.03999996185303,1.11000001430511,2.52999997138977,0.0,30,21,139,864,2395
1844505072,2016-04-15,1,644,961,0.6701352757544224,10.733333333333333,2,8+,Friday,Weekday,6.283333333333333,0.9766839378238342,2016-04-15,3844,2.53999996185303,2.53999996185303,0.0,0.0,0.0,2.53999996185303,0.0,0,0,176,527,1725
3977333714,2016-04-15,1,424,556,0.762589928057554,7.066666666666666,4,7-8,Friday,Weekday,10.733333333333333,0.6701352757544224,2016-04-15,9010,6.05999994277954,6.05999994277954,0.0,1.04999995231628,1.75,3.25999999046326,0.0,15,42,183,644,1468
2026352035,2016-04-15,1,523,573,0.912739965095986,8.716666666666667,8,8+,Friday,Weekday,7.066666666666666,0.762589928057554,2016-04-15,3821,2.36999988555908,2.36999988555908,0.0,0.0,0.0,2.36999988555908,0.0,0,0,188,687,1444
8378563200,2016-04-15,1,513,533,0.9624765478424016,8.55,9,8+,Friday,Weekday,8.716666666666667,0.912739965095986,2016-04-15,14461,11.4700002670288,11.4700002670288,0.0,4.90999984741211,1.14999997615814,5.40999984741211,0.0,60,23,190,729,3666
1927972279,2016-04-15,2,475,499,0.9519038076152304,7.916666666666667,9,7-8,Friday,Weekday,8.55,0.9624765478424016,2016-04-15,980,0.680000007152557,0.680000007152557,0.0,0.0,0.0,0.680000007152557,0.0,0,0,51,941,2221
6775888955,2016-04-15,1,391,406,0.9630541871921182,6.516666666666667,7,6-7,Friday,Weekday,7.916666666666667,0.9519038076152304,2016-04-15,1282,0.920000016689301,0.920000016689301,0.0,0.0,0.0,0.920000016689301,0.0,0,0,58,976,2127
4020332650,2016-04-16,1,77,77,1.0,1.2833333333333334,3,<5,Saturday,Weekend,6.516666666666667,0.9630541871921182,2016-04-16,1982,1.41999995708466,1.41999995708466,0.0,0.449999988079071,0.370000004768372,0.589999973773956,0.0,65,21,55,1222,3051
3977333714,2016-04-16,1,283,510,0.5549019607843138,4.716666666666667,1,<5,Saturday,Weekend,1.2833333333333334,1.0,2016-04-16,13459,9.0,9.0,0.0,2.02999997138977,4.0,2.97000002861023,0.0,31,83,153,663,1625
8378563200,2016-04-16,2,611,689,0.8867924528301887,10.183333333333334,9,8+,Saturday,Weekend,4.716666666666667,0.5549019607843138,2016-04-16,11207,8.89000034332275,8.89000034332275,0.0,5.36999988555908,1.07000005245209,2.44000005722046,0.0,64,21,142,563,3363
7007744171,2016-04-16,1,79,82,0.9634146341463414,1.3166666666666667,1,<5,Saturday,Weekend,10.183333333333334,0.8867924528301887,2016-04-16,4631,3.09999990463257,3.09999990463257,0.0,0.0,0.0,3.09999990463257,0.0,0,0,203,1155,2076
4319703577,2016-04-16,1,506,522,0.9693486590038314,8.433333333333334,9,8+,Saturday,Weekend,1.3166666666666667,0.9634146341463414,2016-04-16,4744,3.1800000667572,3.1800000667572,0.0,0.0,0.0,3.1800000667572,0.0,0,0,194,724,1884
5577150313,2016-04-16,1,406,445,0.9123595505617977,6.766666666666667,6,6-7,Saturday,Weekend,8.433333333333334,0.9693486590038314,2016-04-16,14269,10.6599998474121,10.6599998474121,0.0,6.6399998664856,1.27999997138977,2.73000001907349,0.0,184,56,158,472,4274
